iter	Passed	Remaining
0	137	137026
1	140	69988
2	143	47639
3	147	36672
4	150	29900
5	153	25359
6	156	22152
7	159	19770
8	162	17901
9	165	16393
10	168	15178
11	171	14131
12	174	13284
13	178	12549
14	181	11898
15	184	11327
16	187	10868
17	191	10430
18	194	10037
19	196	9605
20	198	9271
21	202	9001
22	206	8758
23	209	8535
24	213	8322
25	216	8117
26	219	7921
27	223	7743
28	226	7575
29	229	7435
30	233	7298
31	237	7173
32	240	7040
33	242	6894
34	245	6766
35	248	6650
36	251	6535
37	254	6438
38	257	6343
39	260	6260
40	264	6177
41	266	6083
42	269	6004
43	273	5932
44	276	5861
45	279	5789
46	281	5714
47	285	5653
48	288	5595
49	291	5543
50	295	5489
51	297	5428
52	300	5375
53	303	5324
54	305	5254
55	308	5208
56	311	5161
57	314	5115
58	318	5073
59	321	5034
60	324	4996
61	327	4958
62	330	4915
63	333	4880
64	337	4848
65	340	4818
66	343	4782
67	346	4751
68	350	4723
69	353	4698
70	356	4670
71	360	4640
72	362	4608
73	366	4584
74	370	4563
75	373	4545
76	376	4518
77	380	4495
78	383	4469
79	386	4442
80	389	4422
81	392	4390
82	395	4371
83	399	4351
84	401	4326
85	405	4304
86	408	4284
87	410	4256
88	413	4229
89	416	4210
90	419	4190
91	422	4173
92	425	4154
93	429	4135
94	432	4118
95	435	4101
96	437	4071
97	440	4058
98	443	4036
99	446	4016
100	449	4001
101	452	3984
102	455	3965
103	458	3953
104	461	3937
105	465	3923
106	468	3910
107	471	3897
108	474	3880
109	478	3869
110	480	3846
111	483	3830
112	486	3818
113	489	3806
114	493	3796
115	496	3785
116	500	3776
117	503	3762
118	506	3747
119	509	3734
120	512	3722
121	515	3709
122	518	3699
123	521	3687
124	525	3676
125	528	3667
126	531	3655
127	534	3643
128	537	3628
129	540	3615
130	543	3604
131	545	3589
132	547	3571
133	550	3560
134	554	3549
135	558	3549
136	562	3545
137	565	3534
138	569	3525
139	572	3515
140	575	3505
141	578	3493
142	581	3483
143	584	3472
144	587	3463
145	590	3453
146	593	3443
147	596	3433
148	598	3417
149	601	3409
150	604	3401
151	607	3388
152	610	3377
153	612	3365
154	615	3354
155	617	3343
156	621	3335
157	623	3325
158	627	3317
159	630	3308
160	633	3299
161	635	3289
162	638	3279
163	641	3271
164	644	3260
165	645	3244
166	649	3237
167	652	3230
168	655	3220
169	658	3214
170	661	3207
171	664	3200
172	667	3190
173	670	3181
174	673	3173
175	676	3165
176	679	3158
177	682	3152
178	686	3146
179	689	3139
180	691	3131
181	694	3121
182	697	3113
183	700	3107
184	703	3099
185	705	3089
186	708	3080
187	711	3072
188	713	3063
189	716	3054
190	719	3046
191	721	3038
192	724	3029
193	726	3020
194	730	3013
195	732	3006
196	734	2995
197	738	2989
198	740	2982
199	744	2979
200	748	2974
201	750	2966
202	753	2958
203	756	2951
204	759	2944
205	762	2937
206	765	2931
207	766	2918
208	768	2908
209	771	2900
210	774	2896
211	778	2891
212	780	2885
213	783	2878
214	786	2872
215	789	2865
216	791	2857
217	795	2853
218	798	2848
219	802	2844
220	805	2840
221	808	2834
222	812	2830
223	816	2828
224	819	2823
225	823	2818
226	827	2816
227	830	2811
228	833	2807
229	836	2801
230	840	2797
231	842	2790
232	845	2782
233	848	2777
234	851	2772
235	854	2767
236	857	2761
237	860	2756
238	864	2752
239	867	2748
240	871	2743
241	874	2739
242	877	2733
243	880	2729
244	883	2723
245	886	2718
246	889	2711
247	892	2706
248	895	2700
249	898	2694
250	901	2689
251	904	2683
252	906	2677
253	909	2671
254	912	2666
255	916	2662
256	919	2657
257	922	2652
258	925	2649
259	930	2647
260	936	2651
261	940	2648
262	943	2644
263	946	2640
264	950	2635
265	953	2631
266	957	2628
267	959	2621
268	962	2615
269	965	2609
270	967	2603
271	970	2598
272	973	2593
273	976	2587
274	979	2581
275	982	2577
276	984	2569
277	987	2564
278	990	2558
279	992	2552
280	995	2546
281	997	2540
282	1000	2533
283	1002	2528
284	1005	2521
285	1007	2516
286	1010	2510
287	1013	2504
288	1015	2499
289	1018	2493
290	1020	2486
291	1023	2481
292	1025	2474
293	1027	2468
294	1030	2461
295	1032	2455
296	1035	2450
297	1037	2443
298	1039	2437
299	1042	2433
300	1045	2427
301	1047	2422
302	1050	2416
303	1052	2410
304	1055	2405
305	1057	2399
306	1060	2393
307	1062	2387
308	1065	2382
309	1067	2376
310	1070	2370
311	1072	2365
312	1075	2360
313	1077	2355
314	1080	2349
315	1082	2344
316	1085	2339
317	1088	2333
318	1090	2328
319	1092	2322
320	1094	2316
321	1097	2311
322	1100	2306
323	1102	2300
324	1105	2295
325	1107	2289
326	1109	2284
327	1112	2278
328	1115	2275
329	1118	2270
330	1120	2265
331	1123	2261
332	1126	2256
333	1130	2253
334	1133	2250
335	1136	2245
336	1139	2241
337	1143	2238
338	1145	2234
339	1148	2230
340	1152	2226
341	1155	2222
342	1158	2219
343	1161	2215
344	1165	2212
345	1168	2208
346	1171	2204
347	1175	2201
348	1178	2197
349	1181	2193
350	1184	2190
351	1188	2187
352	1190	2182
353	1195	2181
354	1198	2177
355	1202	2174
356	1205	2171
357	1208	2167
358	1212	2164
359	1215	2160
360	1218	2157
361	1222	2154
362	1225	2151
363	1229	2148
364	1232	2144
365	1235	2140
366	1238	2136
367	1241	2132
368	1245	2129
369	1248	2126
370	1251	2122
371	1254	2118
372	1258	2115
373	1261	2112
374	1264	2108
375	1268	2104
376	1271	2100
377	1274	2098
378	1278	2094
379	1281	2090
380	1284	2086
381	1287	2083
382	1290	2079
383	1294	2075
384	1297	2072
385	1302	2071
386	1305	2067
387	1307	2062
388	1310	2058
389	1313	2054
390	1316	2051
391	1320	2047
392	1323	2043
393	1326	2039
394	1329	2036
395	1332	2032
396	1335	2027
397	1337	2023
398	1340	2018
399	1342	2014
400	1347	2012
401	1350	2008
402	1353	2004
403	1356	2000
404	1358	1996
405	1362	1992
406	1365	1989
407	1368	1985
408	1371	1981
409	1374	1978
410	1377	1974
411	1380	1970
412	1383	1966
413	1386	1962
414	1388	1957
415	1391	1953
416	1394	1949
417	1397	1946
418	1401	1943
419	1405	1940
420	1409	1937
421	1412	1934
422	1415	1930
423	1418	1927
424	1422	1924
425	1425	1920
426	1428	1916
427	1431	1912
